# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	1776
#@/user_id	10eb7508-e167-4823-8968-7521df318d50
a1 li3 	阿里	c=1 d=1 t=1200
a5 	啊	c=7 d=3.26897 t=1602
ai4 	愛	c=2 d=1.00335 t=1572
ai4 ci2 ba4 	愛詞霸	c=1 d=1 t=1106
ai4 guo2 	愛國	c=1 d=1 t=1571
an1 quan2 	安全	c=1 d=1 t=1660
an1 quan2 gan3 	安全感	c=1 d=1 t=78
an1 zhuang1 	安裝	c=2 d=1.94649 t=1021
ba1 	吧	c=4 d=1.20774 t=1710
bai2 gong1 	白宮	c=1 d=1 t=145
bai2 ye4 	白夜	c=1 d=1 t=225
bai3 du4 	百度	c=3 d=1.0294 t=1199
bai3 ke1 	百科	c=2 d=1.5972 t=987
ban3 	版	c=1 d=0.258286 t=981
ban4 fa3 	辦法	c=1 d=1 t=789
bao1 han2 	包含	c=1 d=1 t=892
bao1 kuo4 	包括	c=1 d=1 t=889
bao3 chi2 	保持	c=1 d=1 t=259
bao3 cun2 	保存	c=1 d=1 t=1753
bao3 hu4 	保護	c=1 d=1 t=1722
bao4 dao4 	報道	c=1 d=1.08737 t=168
bao4 li4 	暴力	c=1 d=1 t=1276
bei1 hou4 	背後	c=1 d=1 t=84
bei3 da4 	北大	c=1 d=1 t=1380
bei3 jing1 	北京	c=1 d=1 t=491
bei3 jing1 da4 xue2 	北京大學	c=1 d=1 t=369
bei4 	被	c=3 d=1.61749 t=1651
bei4 fen4 	備份	c=2 d=1.52729 t=1605
ben3 	本	c=1 d=1 t=1698
ben3 di4 	本地	c=1 d=1 t=1699
ben3 lai2 	本來	c=1 d=1 t=941
ben3 ren2 	本人	c=1 d=1 t=1570
bi3 	比	c=3 d=2.94742 t=1306
bi3 jiao4 	比較	c=1 d=1 t=757
bi3 ru2 	比如	c=1 d=1 t=1235
bi3 te4 	比特	c=0 d=0.1 t=480
bi3 te4 bi3 	比特比	c=2 d=1.00279 t=1657
bi4 jing4 	畢竟	c=3 d=2.23981 t=1450
bi4 li5 	嗶哩	c=1 d=1.1 t=394
bi4 li5 bi4 li5 	嗶哩嗶哩	c=1 d=1 t=395
bi4 mian3 	避免	c=1 d=1 t=236
bi4 xu1 	必須	c=0 d=0.1 t=604
bi4 xu1 yao4 	必須要	c=1 d=1 t=605
bi4 yao1 	必要	c=1 d=1 t=1738
bi4 ye4 	畢業	c=1 d=1 t=1392
bi4 ying4 	必應	c=5 d=3.82631 t=1353
bi4 ying4 di4 tu2 	必應地圖	c=1 d=1 t=1350
bian1 ma3 	編碼	c=3 d=2.86975 t=879
bian1 yuan2 	邊緣	c=1 d=1 t=239
bian4 ge2 	變革	c=1 d=1 t=88
bian4 xing2 	變形	c=1 d=1 t=165
biao3 xian4 	表現	c=1 d=1 t=651
bing4 mei2 	並沒	c=0 d=0.1 t=1244
bing4 mei2 shuo1 	並沒說	c=2 d=1.99005 t=1247
bo1 	波	c=0 d=0.1 t=1107
bo1 dian3 	播點	c=1 d=1 t=1227
bo1 ru2 tong2 	波如同	c=1 d=1 t=1108
bo2 ren2 zhuan4 	博人傳	c=1 d=1 t=396
bo2 wu4 guan3 	博物館	c=0 d=0.1 t=369
bo4 fang4 	播放	c=1 d=1 t=1595
bu2 hao4 	不好	c=1 d=1 t=1622
bu2 hui4 	不會	c=6 d=3.66287 t=1561
bu2 shi4 	不是	c=3 d=1.55785 t=1390
bu4 	不	c=4 d=1.08402 t=1202
bu4 bei4 	不被	c=1 d=1 t=1583
bu4 dao4 	不到	c=1 d=1 t=1604
bu4 gan3 	不敢	c=0 d=0.1 t=293
bu4 guo4 	不過	c=2 d=1.37344 t=755
bu4 jiu4 shi4 	不就是	c=1 d=1 t=808
bu4 ke3 yi3 	不可以	c=1 d=1 t=1248
bu4 liao3 	不了	c=0 d=0.1 t=559
bu4 neng2 	不能	c=1 d=1 t=655
bu4 shi4 ni3 	不是你	c=0 d=0.1 t=1714
bu4 xiang3 	不想	c=0 d=0.1 t=1103
bu4 xiang3 shang4 ban1 	不想上班	c=1 d=1 t=1104
bu4 yi1 ding4 	不一定	c=1 d=1 t=1144
bu4 ying1 gai1 	不應該	c=1 d=1 t=1594
bu4 yong4 	不用	c=3 d=1.0829 t=1470
bu4 zhi1 chi2 	不支持	c=2 d=1.99501 t=952
bu4 zhi1 dao4 	不知道	c=3 d=1.17262 t=1529
bu4 zhi3 	不只	c=1 d=1 t=253
bu4 zhou4 	步驟	c=1 d=1 t=980
cai2 	才	c=1 d=1 t=1272
cai2 shi4 	纔是	c=1 d=1 t=1052
cai2 you3 	纔有	c=1 d=1 t=112
cai3 ji2 	採集	c=1 d=1 t=796
can1 kao3 	參考	c=1 d=1 t=891
cao1 zuo4 	操作	c=1 d=1 t=898
ce4 shi4 	測試	c=2 d=1.7827 t=1714
ceng2 ci4 	層次	c=1 d=1 t=277
cha1 jian4 	插件	c=2 d=1.91851 t=520
cha2 ji1 	茶几	c=2 d=1.99005 t=1317
cha2 xuan3 	查選	c=1 d=1 t=944
